feature1,feature2,feature3,feature4,feature5,target
0.234,0.567,0.891,0.123,0.456,0
0.789,0.234,0.567,0.891,0.123,1
0.456,0.789,0.234,0.567,0.891,0
0.123,0.456,0.789,0.234,0.567,1
0.891,0.123,0.456,0.789,0.234,0
0.567,0.891,0.123,0.456,0.789,1
0.234,0.567,0.891,0.123,0.456,0
0.789,0.234,0.567,0.891,0.123,1
0.456,0.789,0.234,0.567,0.891,1
0.123,0.456,0.789,0.234,0.567,0
0.891,0.123,0.456,0.789,0.234,1
0.567,0.891,0.123,0.456,0.789,0
0.345,0.678,0.912,0.234,0.567,1
0.901,0.345,0.678,0.912,0.234,0
0.567,0.901,0.345,0.678,0.912,1
0.234,0.567,0.901,0.345,0.678,0
0.912,0.234,0.567,0.901,0.345,1
0.678,0.912,0.234,0.567,0.901,0
0.345,0.678,0.912,0.234,0.567,1
0.901,0.345,0.678,0.912,0.234,0
0.567,0.901,0.345,0.678,0.912,1
0.234,0.567,0.901,0.345,0.678,1
0.912,0.234,0.567,0.901,0.345,0
0.678,0.912,0.234,0.567,0.901,1
0.456,0.789,0.123,0.456,0.789,0
0.123,0.456,0.789,0.123,0.456,1
0.789,0.123,0.456,0.789,0.123,0
0.456,0.789,0.123,0.456,0.789,1
0.123,0.456,0.789,0.123,0.456,0
0.789,0.123,0.456,0.789,0.123,1
